curva_i,curva_j,pearson,dtw
"(2, 2, 1)","(3, 5, 4)",0.29014352,53.50990015268326
"(2, 2, 1)","(3, 5, 5)",0.047958266,35.049481980502605
"(2, 2, 1)","(3, 5, 6)",0.120086454,73.06969026476145
"(2, 2, 1)","(3, 5, 7)",0.19853607,30.123172648251057
"(2, 2, 1)","(3, 5, 8)",0.046726853,49.88277497142553
"(2, 2, 1)","(3, 6, 0)",0.13493674,55.954856514930725
"(2, 2, 1)","(3, 6, 1)",0.14294966,51.97462747991085
"(2, 2, 1)","(3, 6, 2)",0.10189552,57.792622059583664
"(2, 2, 1)","(3, 6, 3)",0.072939165,86.23647340387106
"(2, 2, 1)","(3, 6, 4)",0.30755192,51.2141565233469
"(2, 2, 1)","(3, 6, 5)",0.06391575,38.88158609718084
"(2, 2, 1)","(3, 6, 6)",0.13917679,82.52610862255096
"(2, 2, 1)","(3, 6, 7)",0.039194357,44.77330085635185
"(2, 2, 1)","(3, 6, 8)",0.033345394,89.88072863221169
"(2, 2, 1)","(3, 7, 0)",0.13860306,60.537764474749565
"(2, 2, 1)","(3, 7, 1)",0.14449929,60.72893116623163
"(2, 2, 1)","(3, 7, 2)",0.109204575,60.48892552405596
"(2, 2, 1)","(3, 7, 3)",0.030649243,78.52513651549816
"(2, 2, 1)","(3, 7, 4)",0.38141772,57.311919055879116
"(2, 2, 1)","(3, 7, 5)",0.09220453,41.37015198916197
"(2, 2, 1)","(3, 7, 6)",0.14775278,75.28675516694784
"(2, 2, 1)","(3, 7, 7)",0.013509796,46.417152006179094
"(2, 2, 1)","(3, 7, 8)",0.024346594,87.41075506806374
"(2, 2, 1)","(3, 8, 0)",0.15230137,59.507995545864105
"(2, 2, 1)","(3, 8, 1)",0.11181818,59.7847248762846
"(2, 2, 1)","(3, 8, 2)",0.07832061,61.94064538180828
"(2, 2, 1)","(3, 8, 3)",0.033929635,89.77643664181232
"(2, 2, 1)","(3, 8, 4)",0.3803403,56.93544561415911
"(2, 2, 1)","(3, 8, 5)",0.052132178,38.0125565379858
"(2, 2, 1)","(3, 8, 6)",0.14294173,79.10459182411432
"(2, 2, 1)","(3, 8, 7)",0.061034806,44.78649132698774
"(2, 2, 1)","(3, 8, 8)",0.031679768,88.80111882090569
"(2, 2, 1)","(3, 9, 0)",0.039588265,68.1355260759592
"(2, 2, 1)","(3, 9, 1)",0.10702413,75.05161429196596
"(2, 2, 1)","(3, 9, 2)",0.04368873,52.314573518931866
"(2, 2, 1)","(3, 9, 3)",0.023369443,96.58409245312214
"(2, 2, 1)","(3, 9, 4)",0.11608829,58.18275222927332
"(2, 2, 1)","(3, 9, 5)",0.12754743,42.33657941967249
"(2, 2, 1)","(3, 9, 6)",0.067199685,77.26590225845575
"(2, 2, 1)","(3, 9, 7)",-0.05018355,54.64801447838545
"(2, 2, 1)","(3, 9, 8)",-0.06363715,92.75249295681715
"(2, 2, 1)","(5, 2, 0)",0.026543563,25.240797996520996
"(2, 2, 1)","(5, 2, 1)",0.5446653,36.54363135993481
"(2, 2, 1)","(5, 2, 2)",-0.031533685,31.143763601779938
"(2, 2, 1)","(5, 2, 3)",0.0126132425,28.155827343463898
"(2, 2, 1)","(5, 2, 4)",-0.060963918,36.49572257697582
"(2, 2, 1)","(5, 2, 5)",0.025742766,29.612565755844116
"(2, 2, 1)","(5, 2, 6)",0.09890024,32.87810091674328
"(2, 2, 1)","(5, 2, 7)",0.091114365,44.113155744969845
"(2, 2, 1)","(5, 2, 8)",-0.05066223,36.466712296009064
"(2, 2, 1)","(5, 3, 0)",0.015615868,81.84885120391846
"(2, 2, 1)","(5, 3, 1)",0.3936745,72.6780575811863
"(2, 2, 1)","(5, 3, 2)",0.025831627,86.7197507917881
"(2, 2, 1)","(5, 3, 3)",0.21325797,117.99339225888252
"(2, 2, 1)","(5, 3, 4)",0.09714276,57.64403434097767
"(2, 2, 1)","(5, 3, 5)",0.039839346,53.21996068954468
"(2, 2, 1)","(5, 3, 6)",0.092494085,95.91610372066498
"(2, 2, 1)","(5, 3, 7)",0.07947985,65.6152910888195
"(2, 2, 1)","(5, 3, 8)",0.22359236,91.56849540770054
"(2, 2, 1)","(5, 4, 0)",-0.012677238,95.83130484819412
"(2, 2, 1)","(5, 4, 1)",0.3648832,84.06937539577484
"(2, 2, 1)","(5, 4, 2)",0.020254714,79.58429896086454
"(2, 2, 1)","(5, 4, 3)",0.2723741,101.7998098731041
"(2, 2, 1)","(5, 4, 4)",0.12212959,69.8597782254219
"(2, 2, 1)","(5, 4, 5)",0.0081932945,58.41945964097977
"(2, 2, 1)","(5, 4, 6)",0.14888997,107.03112967312336
"(2, 2, 1)","(5, 4, 7)",0.06222154,59.94098782539368
"(2, 2, 1)","(5, 4, 8)",0.19370529,99.25806152820587
"(2, 2, 1)","(5, 5, 0)",-0.06465375,93.37033477425575
"(2, 2, 1)","(5, 5, 1)",0.38321465,78.00929602980614
"(2, 2, 1)","(5, 5, 2)",0.005900887,83.22908481955528
"(2, 2, 1)","(5, 5, 3)",0.2628718,98.91904124617577
"(2, 2, 1)","(5, 5, 4)",0.16840619,72.3333106637001
"(2, 2, 1)","(5, 5, 5)",-0.0030525152,56.04523146152496
"(2, 2, 1)","(5, 5, 6)",0.06681834,103.29875123500824
"(2, 2, 1)","(5, 5, 7)",0.17564505,49.788438111543655
"(2, 2, 1)","(5, 5, 8)",0.17889258,88.18148173391819
"(2, 2, 1)","(5, 6, 0)",-0.014916818,125.29842355847359
"(2, 2, 1)","(5, 6, 1)",0.25447887,90.52416032552719
